file_name,text,writer_id
german_hw_data/writer1/1_65.png,Mörsdorf,1
german_hw_data/writer1/1_142.png,Käbschütztal,1
german_hw_data/writer1/1_132.png,Großschweidnitz,1
german_hw_data/writer1/1_114.png,Nöda,1
german_hw_data/writer1/1_84.png,Mühlenfließ,1
german_hw_data/writer1/1_157.png,Großrudestedt,1
german_hw_data/writer1/1_36.png,Doberschütz OT Wöllnau,1
german_hw_data/writer1/1_7.png,Röderland,1
german_hw_data/writer1/1_78.png,Oberschöna,1
german_hw_data/writer1/1_21.png,Schönhausen (Elbe),1
german_hw_data/writer1/1_83.png,Kümmernitztal,1
german_hw_data/writer1/1_125.png,Jämlitz-Klein Düben,1
german_hw_data/writer1/1_45.png,Tröbitz,1
german_hw_data/writer1/1_113.png,Dürrhennersdorf,1
german_hw_data/writer1/1_42.png,Grünewald,1
german_hw_data/writer1/1_95.png,Doberschütz,1
german_hw_data/writer1/1_0.png,Königshain-Wiederau,1
german_hw_data/writer1/1_24.png,Laußnitz,1
german_hw_data/writer1/1_137.png,Großweitzschen,1
german_hw_data/writer1/1_16.png,Löberschütz,1
german_hw_data/writer1/1_49.png,Osthausen-Wülfershausen,1
german_hw_data/writer1/1_91.png,Eisenhüttenstadt,1
german_hw_data/writer1/1_60.png,Schönbach,1
german_hw_data/writer1/1_10.png,Hähnichen,1
german_hw_data/writer1/1_115.png,Weißenberg - Wóspork,1
german_hw_data/writer1/1_72.png,Rüdersdorf,1
german_hw_data/writer1/1_51.png,Märkische Höhe,1
german_hw_data/writer1/1_85.png,Großräschen,1
german_hw_data/writer1/1_63.png,Katzhütte,1
german_hw_data/writer1/1_153.png,Ziegenrück,1
german_hw_data/writer1/1_17.png,Mücheln (Geiseltal),1
german_hw_data/writer1/1_19.png,Schönwölkau,1
german_hw_data/writer1/1_100.png,Groß Köris,1
german_hw_data/writer1/1_46.png,Südliches Anhalt OT Repau,1
german_hw_data/writer1/1_146.png,Sömmerda,1
german_hw_data/writer1/1_127.png,Bad Gottleuba-Berggießhübel,1
german_hw_data/writer1/1_71.png,Stüdenitz-Schönermark,1
german_hw_data/writer1/1_110.png,Großrückerswalde,1
german_hw_data/writer1/1_88.png,Kühdorf,1
german_hw_data/writer1/1_145.png,Mühlental,1
german_hw_data/writer1/1_136.png,Großschirma,1
german_hw_data/writer1/1_122.png,Tröbnitz,1
german_hw_data/writer1/1_43.png,Weißensee,1
german_hw_data/writer1/1_23.png,Langebrück,1
german_hw_data/writer1/1_156.png,Balgstädt,1
german_hw_data/writer1/1_39.png,Hohengüstow,1
german_hw_data/writer1/1_58.png,Lärz,1
german_hw_data/writer1/1_155.png,Großthiemig,1
german_hw_data/writer1/1_112.png,Müllrose,1
german_hw_data/writer1/1_37.png,Unterwellenborn OT Könitz,1
german_hw_data/writer1/1_27.png,Schkölen,1
german_hw_data/writer1/1_147.png,Dallgow-Döberitz,1
german_hw_data/writer1/1_120.png,Zermützel,1
german_hw_data/writer1/1_81.png,Großlohra,1
german_hw_data/writer1/1_55.png,Möckern,1
german_hw_data/writer1/1_96.png,Großdubrau,1
german_hw_data/writer1/1_25.png,Schönwald,1
german_hw_data/writer1/1_33.png,Großröhrsdorf,1
german_hw_data/writer1/1_80.png,Weißkeißel,1
german_hw_data/writer1/1_130.png,Löbichau,1
german_hw_data/writer1/1_152.png,Brück,1
german_hw_data/writer1/1_48.png,Stößen,1
german_hw_data/writer1/1_70.png,Claußnitz,1
